State,Last_Update,Confirmed
Virgin Islands,2020-04-21,53
Virginia,2020-04-21,9630
Washington,2020-04-21,12392
West Virginia,2020-04-21,908
Wisconsin,2020-04-21,4625
Wyoming,2020-04-21,443
Recovered,2020-04-21,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-22,5692
Alaska,2020-04-22,335
American Samoa,2020-04-22,0
Arizona,2020-04-22,5473
Arkansas,2020-04-22,2276
California,2020-04-22,37344
Colorado,2020-04-22,10891
Connecticut,2020-04-22,22469
Delaware,2020-04-22,3200
Diamond Princess,2020-04-22,49
District of Columbia,2020-04-22,3206
Florida,2020-04-22,28309
Georgia,2020-04-22,21214
Grand Princess,2020-04-22,103
Guam,2020-04-22,136
Hawaii,2020-04-22,592
Idaho,2020-04-22,1766
Illinois,2020-04-22,35107
Indiana,2020-04-22,12438
Iowa,2020-04-22,3748
Kansas,2020-04-22,2331
Kentucky,2020-04-22,3378
Louisiana,2020-04-22,25258
Maine,2020-04-22,907
Maryland,2020-04-22,14775
Massachusetts,2020-04-22,42944
Michigan,2020-04-22,33966
Minnesota,2020-04-22,2722
Mississippi,2020-04-22,4894
Missouri,2020-04-22,6277
Montana,2020-04-22,439
Nebraska,2020-04-22,1813
Nevada,2020-04-22,4081
New Hampshire,2020-04-22,1588
New Jersey,2020-04-22,95914
New Mexico,2020-04-22,2210
New York,2020-04-22,263292
North Carolina,2020-04-22,7495
North Dakota,2020-04-22,679
Northern Mariana Islands,2020-04-22,14
Ohio,2020-04-22,14117
Oklahoma,2020-04-22,2894
Oregon,2020-04-22,2059
Pennsylvania,2020-04-22,36082
Puerto Rico,2020-04-22,1252
Rhode Island,2020-04-22,5841
South Carolina,2020-04-22,4761
South Dakota,2020-04-22,1858
Tennessee,2020-04-22,7394
Texas,2020-04-22,21350
Utah,2020-04-22,3445
Vermont,2020-04-22,823
Virgin Islands,2020-04-22,54
Virginia,2020-04-22,10266
Washington,2020-04-22,12596
West Virginia,2020-04-22,939
Wisconsin,2020-04-22,4845
Wyoming,2020-04-22,447
Recovered,2020-04-22,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-24,5899
Alaska,2020-04-24,337
American Samoa,2020-04-24,0
Arizona,2020-04-24,5772
Arkansas,2020-04-24,2599
California,2020-04-24,39561
Colorado,2020-04-24,11278
Connecticut,2020-04-24,23100
Delaware,2020-04-24,3308
Diamond Princess,2020-04-24,49
District of Columbia,2020-04-24,3361
Florida,2020-04-24,29648
Georgia,2020-04-24,21883
Grand Princess,2020-04-24,103
Guam,2020-04-24,139
Hawaii,2020-04-24,596
Idaho,2020-04-24,1836
Illinois,2020-04-24,36937
Indiana,2020-04-24,13039
Iowa,2020-04-24,3924
Kansas,2020-04-24,2721
Kentucky,2020-04-24,3479
Louisiana,2020-04-24,25739
Maine,2020-04-24,937
Maryland,2020-04-24,15737
Massachusetts,2020-04-24,46023
Michigan,2020-04-24,35296
Minnesota,2020-04-24,2942
Mississippi,2020-04-24,5153
Missouri,2020-04-24,6506
Montana,2020-04-24,442
Nebraska,2020-04-24,2202
Nevada,2020-04-24,4208
New Hampshire,2020-04-24,1670
New Jersey,2020-04-24,100025
New Mexico,2020-04-24,2379
New York,2020-04-24,263460
North Carolina,2020-04-24,7820
North Dakota,2020-04-24,709
Northern Mariana Islands,2020-04-24,14
Ohio,2020-04-24,14694
Oklahoma,2020-04-24,3017
Oregon,2020-04-24,2127
Pennsylvania,2020-04-24,38379
Puerto Rico,2020-04-24,1416
Rhode Island,2020-04-24,6256
South Carolina,2020-04-24,4917
South Dakota,2020-04-24,1956
Tennessee,2020-04-24,8266
Texas,2020-04-24,22650
Utah,2020-04-24,3612
Vermont,2020-04-24,825
Virgin Islands,2020-04-24,54
Virginia,2020-04-24,10998
Washington,2020-04-24,12753
West Virginia,2020-04-24,981
Wisconsin,2020-04-24,5052
Wyoming,2020-04-24,453
Recovered,2020-04-24,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-25,6092
Alaska,2020-04-25,339
American Samoa,2020-04-25,0
Arizona,2020-04-25,6045
Arkansas,2020-04-25,2810
California,2020-04-25,41355
Colorado,2020-04-25,12256
Connecticut,2020-04-25,23936
Delaware,2020-04-25,3442
Diamond Princess,2020-04-25,49
